Atom,Δx,Δy,Δz,Δr
27,0.0003417426000007495,0.0046417857916667415,0.0007364822166628926,0.004712257356706571
9,-0.004170682399999848,0.0020010818916667006,0.0007423965166672986,0.004685090501450811
29,-0.004178715299999913,-0.0020087870083331794,0.0007370715166672426,0.004694695008622358
63,-0.01746465620000004,0.030242287491666353,-0.00835858828333258,0.035909276893346984
11,-0.017462781500000024,-0.03025158170833331,-0.008362520183332833,0.03591710842188383
28,-0.024081191700000004,4.402916671253365e-07,0.006884345516667167,0.025045917972373488
65,0.012050847199999826,0.02087136569166681,0.006891596516666709,0.025066530007593048
45,0.012043179600000009,-0.02086410520833315,0.006878472716664419,0.02505319237015809
10,0.0038181946999999994,-0.002615844108333307,0.0007428798166664308,0.004687549635814059
47,0.00034037389999941325,-0.004631136608333142,0.000734790416665021,0.004701403793896772
64,0.034916430700000056,1.9939166673310638e-07,-0.008363852083331125,0.035904194107924295
46,0.0038472584000004417,0.0026142940916666925,0.0007369253166693568,0.004709457475808181
