Atom,Δx,Δy,Δz,Δr
27,0.0033112458750004237,-0.003035696158333323,0.0009688470333344412,0.004595483106750363
9,-0.00792533482500013,0.0009142629416665216,-0.0013968566666626714,0.008099260297216315
29,-0.007949844525000138,-0.0008988940583334326,-0.0016955986666644662,0.00817820844306234
63,-0.007075756925000065,0.015017832041666068,-0.005430278266661759,0.017466812455246592
11,-0.0069618112250000586,-0.015006149658333356,-0.005600033966665308,0.01746458483699628
28,-0.01600055422500002,-8.995365833364133e-05,0.038564210033335655,0.04175193555588819
65,0.015492490475000231,0.011322813041665825,-0.009956749966665512,0.02161851581846414
45,0.015576134175000256,-0.011421119658333367,-0.010240395966665261,0.02186146471857899
10,0.00031158017499999247,-0.0005426764583332433,-0.0017506394666639835,0.0018591176633348668
47,0.0031360967750000412,0.0031058412416669068,0.0009462853333346288,0.004514067869747743
64,0.007319681774999864,0.0001455241416659092,-0.00272093356666403,0.007810403193003022
46,0.000766072475000712,0.00048821624166675673,-0.0016878558666633126,0.0019167888674057692
