Atom,Δx,Δy,Δz,Δr
27,0.009923505816667344,-0.004129385566666421,0.003627450458335346,0.011343993550743094
9,-0.01661409758333332,-0.0007063331666667949,-0.011779369341663681,0.020378436817827365
29,-0.014462791783333317,0.0019096871333337262,-0.010100270941666878,0.017743582620495624
63,-0.018493991583333425,0.03925155393333313,-0.01879580804166281,0.047286304685445694
11,-0.02247469838333338,-0.045075054466666487,-0.02332341344166622,0.0555054431309728
28,-0.051468113483333355,0.0028674685333340832,0.1267462770583343,0.13682765739963168
65,0.035173891216666586,0.023720346533333547,-0.026743589341666762,0.05015054370452065
45,0.0373492610166668,-0.025441863766666906,-0.02770245434166796,0.05300643080763826
10,0.0013894423166664893,-0.0002669237666665741,-0.002714061041665161,0.0030607067135613618
47,0.008907454616666755,0.0028518648333335506,0.0004133577583331771,0.009361984053177867
64,0.033906438616666534,0.0019378385333332915,-0.005924538841664884,0.0344746567543963
46,-0.0031363007833320466,0.003080801233333426,-0.003703579941664259,0.005748410495705383
