Atom,Δx,Δy,Δz,Δr
27,0.003649397941666521,0.002142814483334199,0.0006169084999960717,0.004276720161992605
9,-0.0040729108583335005,-5.5367716667031885e-05,0.0024107226999987574,0.004733207409386277
29,-0.0036750658583335483,0.0020950121833340773,0.0006131053999993696,0.004274468779031554
63,-0.021023593658333395,0.034959862883333415,-0.006422772400000554,0.04129691887337841
11,-0.019767840758333488,-0.035698217016666645,-0.006422643200000522,0.041308359590891186
28,-0.024423185558333338,-0.0002635449166659143,0.0033995153999981653,0.02466005177802162
65,0.01199106004166639,0.021301999683333683,0.00340600599999874,0.024681199085612192
45,0.012441469841666386,-0.021016369916667,0.003398396099999701,0.02465820497010626
10,-5.776758333464471e-06,-0.004227410216666615,0.0006180572999987533,0.004272355946898136
47,0.0020696635416666,-0.0035212890166664845,0.002399017899996636,0.004736905149895258
64,0.04078407284166641,0.0007280022833331401,-0.0064248067000001186,0.04129344652618931
46,0.002032709241667874,0.0035545072833333843,0.0024084930000007887,0.004750501807123628
