Configuration,Max Δr (Å),Mean Δr (Å),RMS Δr (Å),Max Δz (Å),Mean Δz (Å)
H31 30° hollow,0.03591710842188383,0.01759055612879821,0.02214416456829548,0.008363852083331125,0.0
H31 60° hollow,0.041308359590891186,0.018745195006543872,0.024263303661951615,0.0064248067000001186,-1.1842378929335002e-15
H22 90° ontop,0.13682765739963168,0.03707401256117634,0.05126790569470358,0.1267462770583343,1.1842378929335002e-15
H22 45° ontop,0.12266264641139288,0.0370562573625891,0.04951075103002532,0.11268647404166643,-1.4802973661668755e-15
H22 0° ontop,0.13553197648719192,0.0361657682483674,0.050326568035812994,0.12618531977499714,-2.3684757858670005e-15
H13 0° ontop,0.04175193555588819,0.013094720235474552,0.01717730680742342,0.038564210033335655,2.3684757858670005e-15
